"Longitude"	"Latitude"
"1"	30.07315927	31.40350493
"2"	32.25347428	31.496969
"3"	-0.191788646	38.16841848
"4"	-4.053094108	36.5990031
"5"	-1.87	36.76
"6"	25.6	38.33
"7"	28.57374052	36.66226823
"8"	24.32879567	38.19059227
"9"	23.50632713	40.06410301
"10"	34.6	35.23
"11"	12.57600371	37.25848879
"12"	15.27809323	37.19093642
"13"	8.624896609	41.18342152
"14"	9.549058053	41.22875292
"15"	8.24175585	40.17858555
"16"	9.825354998	40.34531482
"17"	7.99	39.1
"18"	9.8	39.21
"19"	8.31	42.31771639
"20"	-5.18	36.01
"21"	20.45860713	39.12611444
"22"	13.2465528	44.32263679
"23"	18.73742815	42.1028304
"24"	3.61	39.71
"25"	15.45849504	38.58
"26"	14.60858216	38.12775864
"27"	9.56	43.15
"28"	10.30744143	42.92357229
"29"	26.51	35.14
"30"	24.44648862	40.60456077
"31"	23.3	35.43
"32"	20.26	37.96
"33"	25.62	39.21
"34"	22.89034081	40.04697594
"35"	25.6	36.6
"36"	23.55013177	37.46285919
"37"	24.67428825	37.22324307
"38"	24.54265541	39.20841247
"39"	23.46	39.57
"40"	27.59448122	35.92294971
"41"	27.26820867	36.73129692
"42"	26.83960578	37.46449748
"43"	22.67	36.4
"44"	25.68379244	40.60607068
"45"	0.392569757	39.8159163
"46"	2.05	40.94
"47"	3.528937156	42.77003432
"48"	4.768116978	43.12596838
"49"	6.840349517	43.30725
"50"	9.347367655	44.08174518
"51"	15.74787338	39.33499013
"52"	14.05325383	40.72491685
"53"	12.09183707	41.69684374
"54"	30.06	36
"55"	32.10600057	36.33763729
"56"	34.36759941	36.37426928
"57"	28.158884	31.16724187
"58"	22.40058175	33.22
"59"	20.07309782	32.29304809
"60"	19.67868649	31.03172618
"61"	18.1083425	30.97014858
"62"	15.96359044	31.78743435
"63"	13.87550987	32.89416051
"64"	0.836683632	36.38374966
"65"	2.954280612	37.13
"66"	5.221797136	36.84815232
"67"	-4.593366255	35.39519085
"68"	1.39276056	38.83105162
"69"	25.73434975	40.03491678
"70"	23.98534444	32.27933826
"71"	25.89718252	31.6840524
"72"	35.67243721	36.22354294
"73"	35.08	33.75317054
"74"	34.04389396	31.66968863
"75"	19.04	40.64
"76"	21.34	36.84
"77"	17.17	42.58
"78"	15.52347355	43.35985667
"79"	14.51097126	44.4069176
"80"	13.05010212	45.20045362
"81"	14.29349878	42.87556822
"82"	16.15263548	42.1135574
"83"	18.03432466	40.63669486
"84"	16.76959492	38.72794581
"85"	17.22757819	40.02630884
"86"	12.78913789	38.4
"87"	14.63559445	36.4382141
"88"	7.226604166	37.37
"89"	9.039079699	37.33681287
"90"	11.42	36.65579602
"91"	12.12748905	33.34665889
"92"	11.27991837	34.60466044
"93"	32.86002873	35.24379855
"94"	33.23004524	34.43
"95"	25.20891974	34.71
"96"	25.15848102	35.38639937
"97"	-0.953968181	36.06
"98"	-2.943549048	35.73
"99"	2.575136082	39.40559716
"100"	3.952753762	40.34
