"TP2963"	"TP10706"	"TP15382"	"TP15756"	"TP15820"	"TP16560"	"TP16904"	"TP17055"	"TP17064"	"TP17919"
"p74f1"	0.216216216	0.3	0.951219512	0.266666667	0.9	0.114285714	0.625	0.111111111	0.884615385	0.031746032
"p38_39f1"	0.15	0.212121212	0.964285714	0.134615385	0.942307692	0.047619048	0.672413793	0.025641026	0.972222222	0.00990099
"p4f1"	0.535714286	0.28358209	0.983333333	0.083333333	0.948717949	0.133333333	0.763888889	0.024096386	0.902777778	0.080357143
"p80_82f1"	0.120879121	0.259259259	0.926470588	0.096153846	1	0.145454545	0.534482759	0.012987013	0.975609756	0.052083333
"p6f1"	0.339285714	0.22	0.971428571	0.23255814	0.78	0	0.571428571	0.094594595	0.74137931	0
"p11_86f1"	0.43902439	0.166666667	0.741071429	0.1	0.852459016	0.127272727	0.61	0.085106383	0.943661972	0.102040816
"p3f1"	0.648148148	0.155555556	0.763157895	0.0625	0.833333333	0.078431373	0.519480519	0.112903226	0.826086957	0.043478261
"p37f1"	0.333333333	0.338709677	0.840909091	0.16	0.725	0	0.74137931	0	1	0.091954023
"p46f1"	0.525423729	0.196428571	0.862745098	0.078947368	0.75	0.1	0.482142857	0.136986301	0.93220339	0.086419753
"p14f1"	0.411764706	0.233333333	0.821917808	0.014084507	0.933333333	0.060240964	0.590909091	0	1	0.061728395
"p72f1"	0.281690141	0.175438596	0.93877551	0.222222222	0.933333333	0.087719298	0.634615385	0	0.838235294	0.051282051
"p35f1"	0.555555556	0.444444444	1	0.111111111	1	0	0.528089888	0.059701493	0.839285714	0.049019608
"p36_8f1"	0.451612903	0.196721311	0.961538462	0.142857143	0.980769231	0.020408163	0.549019608	0.037974684	0.946666667	0.06097561
"p16f1"	0.315789474	0.179104478	0.939393939	0.105882353	0.802816901	0.112903226	0.514705882	0	0.837209302	0.117647059
"p19_27f1"	0.683168317	0.262626263	0.929577465	0.172043011	0.932432432	0.031578947	0.603603604	0.076086957	0.866666667	0.013422819
"p32_43f1"	0.4	0.229508197	0.879310345	0.073170732	0.945205479	0.028571429	0.535714286	0.027777778	0.936170213	0.056074766
"p18f1"	0.513888889	0.105263158	0.918367347	0.118644068	0.945945946	0.028571429	0.580645161	0.174603175	0.926470588	0.04
"p89f1"	0.490196078	0.26984127	1	0.111111111	0.896551724	0.076923077	0.683333333	0.125	0.904761905	0.01754386
"p52_53f1"	0.15	0.230769231	0.9	0	0.715909091	0.032967033	0.518987342	0.053191489	0.909090909	0.142857143
"p91f1"	0.272727273	0.337662338	0.895833333	0.244444444	0.844444444	0	0.465517241	0	0.690909091	0.025
"p51f1"	0.558823529	0.15	0.818181818	0.053571429	0.789473684	0.05	0.583333333	0.172839506	0.857142857	0
"p90_92f1"	0.244186047	0.192771084	0.931506849	0.108108108	0.906976744	0	0.634146341	0.073394495	0.87755102	0.082474227
"p83f1"	0.370967742	0.217391304	0.826086957	0.142857143	0.96875	0.022222222	0.425	0.208333333	0.854545455	0
"p73f1"	0.230769231	0.272727273	0.804878049	0	1	0	0.547169811	0.218181818	0.846153846	0.087719298
"p55_56f1"	0.486956522	0.133333333	0.920792079	0.070588235	0.969072165	0	0.504761905	0.123188406	0.903846154	0.054794521
"p68f1"	0.637931034	0.109090909	0.676470588	0.2	0.872340426	0.071428571	0.452830189	0	0.912280702	0.043956044
"p95f1"	0.385964912	0.109589041	0.75862069	0	1	0.033333333	0.597014925	0.058139535	0.941176471	0.011363636
"p13_15f1"	0.516666667	0.298387097	0.917431193	0.080645161	0.913043478	0.090909091	0.61589404	0.046357616	0.837078652	0.043715847
"p20f1"	0.758064516	0.1625	0.754098361	0.220338983	1	0.212765957	0.644736842	0	1	0
"p29_96f1"	0.333333333	0.127906977	0.820224719	0.063829787	0.980769231	0.00952381	0.544117647	0.088	0.892857143	0.038961039
"p93_94f1"	0.11627907	0.307692308	0.840909091	0.125	0.831460674	0	0.57	0	0.844262295	0.149068323
"p100f1"	0.273972603	0.208955224	0.890410959	0.106060606	0.794117647	0.109756098	0.506493506	0.021505376	0.897727273	0.008695652
"p34f1"	0.660714286	0.283783784	0.909090909	0.020833333	0.857142857	0	0.626865672	0.095890411	0.851851852	0.046511628
"p40_41f1"	0.362318841	0.395061728	0.835616438	0.260273973	0.945945946	0.029411765	0.588888889	0.06097561	0.888888889	0.076335878
"p33_69f1"	0.5	0.366666667	0.818181818	0	0.95	0	0.611764706	0	0.755319149	0.076923077
"p24f1"	0.425	0	0.923076923	0.158730159	0.896103896	0	0.593023256	0.097222222	0.896907216	0.121212121
"p48f1"	0.472222222	0.310344828	0.959183673	0.255319149	0.860465116	0.152173913	0.482142857	0	0.786885246	0.073170732
"p88f1"	0.375	0.285714286	0.9	0.152173913	0.977777778	0.03125	0.515151515	0.028571429	0.725490196	0.058823529
"p5f1"	0.333333333	0.333333333	0.854166667	0	1	0.218181818	0.5125	0.116666667	0.96	0.037383178
"p45f1"	0.5	0.134615385	0.8125	0	1	0.026315789	0.492753623	0	0.931506849	0.068493151
"p10f1"	0.551724138	0.301587302	0.923076923	0.153846154	0.866666667	0	0.603448276	0.042857143	0.833333333	0.011363636
"p85f1"	0.354166667	0.220338983	0.804347826	0.135135135	0.909090909	0.046875	0.603448276	0.138888889	0.922077922	0.053191489
"p30f1"	0.587301587	0.171875	0.705882353	0.116666667	0.957142857	0	0.616161616	0.113636364	0.891891892	0.061403509
"p9f1"	0.179487179	0.1	0.884615385	0.090909091	0.823529412	0.032258065	0.638888889	0	0.953488372	0
"p12_87f1"	0.336842105	0.114583333	0.857142857	0.289156627	0.91025641	0.020408163	0.580952381	0.076923077	0.824175824	0.006802721
"p25_84f1"	0.52238806	0.328947368	0.882352941	0.295774648	0.865671642	0.031746032	0.592105263	0	0.828571429	0.037383178
"p99f1"	0.369565217	0.294117647	0.948717949	0.12	0.977777778	0	0.577777778	0	0.904761905	0.046875
